id	image	draft_board	unknown_squares
93	src/assets/diagrams/image93.png	??3?1?/8/3p4/4p3/4P3/3P4/8/R4?1?	a8,b8,f8,h8,f1,h1
94	src/assets/diagrams/image94.png	r4?k?/p?p2ppp/2q?1n2/1N6/8/2N1PP2/PP4PP/R1BQ1?K?	f8,h8,b7,d6,f1,h1
95	src/assets/diagrams/image95.png	?5k?/1p5p/?p2ppp1/?2p4/P2P2P1/4PP?1/2?4P/?4B1?	a8,h8,a6,a5,g3,c2,a1,h1
96	src/assets/diagrams/image96.png	?1n4?/1p2n3/1p4?1/3p2?p/P2P3P/2?2B2/8/?6?	a8,h8,g6,g5,c3,a1,h1
97	src/assets/diagrams/image97.png	?6?/5?2/?2?4/1p1p1p1p/1P1?1P1P/2P2B2/8/?6?	a8,h8,f7,a6,d6,d4,a1,h1
98	src/assets/diagrams/image98.png	?6?/8/P?5?/1P1?2p1/4B1P1/7?/8/?3?2?	a8,h8,b6,h6,d5,h3,a1,e1,h1
99	src/assets/diagrams/image99.png	r1?4?/p3?3/1p?1p2?/4?pp1/3?n3/2P4?/PPB3P1/?2?2K?	c8,h8,e7,c6,h6,e5,d4,h3,a1,d1,h1
100	src/assets/diagrams/image100.png	?6?/?7/8/4p3/?p?1p3/?1P5/1P1?1?2/?6?	a8,h8,a7,a4,c4,a3,d2,f2,a1,h1
101	src/assets/diagrams/image101.png	?2q?1k?/p2?1?1p/2p?p1p1/2P3P?/3PP3/5?2/6?1/R5K?	a8,e8,h8,d7,f7,d6,h5,f3,g2,h1
102	src/assets/diagrams/image102.png	?1?3k?/pp4bp/3p2p1/3Pp?2/1??2n2/2?1?1P?/PP2?PB?/R1?4?	a8,c8,h8,f5,b4,c4,c3,e3,h3,e2,h2,c1,h1
103	src/assets/diagrams/image103.png	?1b2?k?/1p?1npbp/?1p3p1/2p5/2P1N3/1?2P1P1/P?3PBP/?2?1?K?	a8,f8,h8,c7,a6,b3,b2,a1,d1,f1,h1
104	src/assets/diagrams/image104.png	r1bqk1?r/pppp1pp1/2n5/2b1p3/4P2?/2?3P1/PPPP1PBP/R1BQK2R	g8,h4,c3
105	src/assets/diagrams/image105.png	r2q1?k?/7p/?2p4/?ppPn3/2P2P2/1P2?2?/P?1?B2P/R4?K?	f8,h8,a6,a5,e3,h3,b2,d2,f1,h1
106	src/assets/diagrams/image106.png	?5k?/5?1p/?2?4/?ppP2?1/2P5/1P2?3/P?5P/?6?	a8,h8,f7,a6,d6,a5,g5,e3,b2,a1,h1
